answer,category,subcategory,predicted_category,sim_Career Growth,sim_Compensation,sim_Job Role,sim_Management,sim_Work Environment,sim_Work-Life Balance,sim_Workplace Culture
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth,0.36153454,0.20959738,0.30468243,0.30408522,0.11183828,0.13854054,0.24247858
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth,0.36153454,0.20959738,0.30468243,0.30408522,0.11183828,0.13854054,0.24247858
There is clarity in what is expected from my position.,Job Role,Clarity,Job Role,0.2457429,0.27630192,0.44132993,0.30166525,0.30637,0.30024612,0.19979203
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Management,0.12296869,0.072764024,0.19619346,0.3159225,0.1238229,0.09441687,0.16201206
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment,0.21608451,0.18972439,0.23478249,0.17630218,0.43104494,0.39670557,0.22818887
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment,0.21608451,0.18972439,0.23478249,0.17630218,0.43104494,0.39670557,0.22818887
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work Environment,0.19867778,0.11273908,0.28159213,0.18407588,0.43937176,0.2639653,0.26880345
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth,0.42342716,0.12040003,0.3176059,0.2236544,0.18646558,0.26302403,0.24383555
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth,0.36153454,0.20959738,0.30468243,0.30408522,0.11183828,0.13854054,0.24247858
We receive comprehensive health and wellness benefits.,Compensation,Benefits,Work-Life Balance,0.11431433,0.28361303,0.08328201,0.16335475,0.20294443,0.31046635,0.16474509
The company promotes an inclusive culture for everyone.,Workplace Culture,Inclusivity,Workplace Culture,0.103176504,0.14805084,0.17028198,0.2407332,0.22115259,0.18320075,0.50786304
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth,0.36153454,0.20959738,0.30468243,0.30408522,0.11183828,0.13854054,0.24247858
I feel supported by my managers in my daily tasks.,Management,Support,Management,0.2479657,0.19713521,0.4130855,0.45606932,0.40507823,0.44364744,0.30574623
Office facilities are well-maintained and resourceful.,Work Environment,Facilities,Work Environment,0.21071893,0.1729917,0.24967399,0.31474483,0.46790555,0.2711202,0.33637905
The workspace setup supports productivity and comfort.,Work Environment,Office Setup,Work Environment,0.22539605,0.17156434,0.27677372,0.2900712,0.6394676,0.4545784,0.38048244
I feel supported by my managers in my daily tasks.,Management,Support,Management,0.2479657,0.19713521,0.4130855,0.45606932,0.40507823,0.44364744,0.30574623
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role,0.27751917,0.283226,0.5105513,0.34043324,0.29113013,0.31413302,0.28739095
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth,0.42342716,0.12040003,0.3176059,0.2236544,0.18646558,0.26302403,0.24383555
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Management,0.12296869,0.072764024,0.19619346,0.3159225,0.1238229,0.09441687,0.16201206
