answer,category,subcategory,predicted_category,confidence_score
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth,0.431380276309244
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth,0.431380276309244
There is clarity in what is expected from my position.,Job Role,Clarity,Job Role,0.43946940438542104
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Workplace Culture,0.3999643775889056
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment,0.5548779110075058
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment,0.5548779110075058
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work-Life Balance,0.4904408324021072
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth,0.43345903440317346
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth,0.431380276309244
We receive comprehensive health and wellness benefits.,Compensation,Benefits,Compensation,0.4122763845027993
The company promotes an inclusive culture for everyone.,Workplace Culture,Inclusivity,Workplace Culture,0.3929690543545241
There is a clear path for promotions and recognition.,Career Growth,Promotions,Career Growth,0.431380276309244
I feel supported by my managers in my daily tasks.,Management,Support,Management,0.3803274526615218
Office facilities are well-maintained and resourceful.,Work Environment,Facilities,Work Environment,0.413396269131962
The workspace setup supports productivity and comfort.,Work Environment,Office Setup,Work Environment,0.5161218364995679
I feel supported by my managers in my daily tasks.,Management,Support,Management,0.3803274526615218
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role,0.45733681054372416
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth,0.43345903440317346
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Workplace Culture,0.3999643775889056
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment,0.5548779110075058
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment,0.5548779110075058
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Workplace Culture,0.3999643775889056
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work-Life Balance,0.4904408324021072
The leave policies are generous and easy to access.,Work-Life Balance,Time Off,Work-Life Balance,0.45241363040269617
Having a mentor has helped me grow professionally.,Career Growth,Mentorship,Career Growth,0.43345903440317346
We receive comprehensive health and wellness benefits.,Compensation,Benefits,Compensation,0.4122763845027993
Expectations from my role are communicated effectively.,Job Role,Expectations,Job Role,0.45733681054372416
Ergonomic furniture helps with long working hours.,Work Environment,Ergonomics,Work Environment,0.5548779110075058
I feel supported by my managers in my daily tasks.,Management,Support,Management,0.3803274526615218
I enjoy working closely with my team on projects.,Workplace Culture,Team Collaboration,Workplace Culture,0.3744724514256664
Working remotely has been a seamless experience.,Work-Life Balance,Remote Work,Work-Life Balance,0.4904408324021072
The salary is competitive with industry standards.,Compensation,Salary,Compensation,0.4493168652679768
My job responsibilities are clear and well-defined.,Job Role,Responsibilities,Job Role,0.3768005176192685
The company promotes an inclusive culture for everyone.,Workplace Culture,Inclusivity,Workplace Culture,0.3929690543545241
The salary is competitive with industry standards.,Compensation,Salary,Compensation,0.4493168652679768
The company promotes an inclusive culture for everyone.,Workplace Culture,Inclusivity,Workplace Culture,0.3929690543545241
Our leaders are approachable and provide clear direction.,Workplace Culture,Leadership,Workplace Culture,0.3999643775889056
We receive comprehensive health and wellness benefits.,Compensation,Benefits,Compensation,0.4122763845027993
